,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
368,368,368,109,Sid Meier’s Civilization VI,5/21/2020,5/28/2020,https://store.epicgames.com/en-US/p/sid-meiers-civilization-vi,fe74b3dad04846e5a58f62aebd3858b6,cd14dcaa4f3443f19f7169a980559c62,5999.0,$59.99,"['1088', '21122', '1188', '21127', '1386', '9547', '1166', '15375', '21138', '1203', '1299', '21139', '21140', '21141', '1370', '21146', '1115', '21149']","2K Games, Inc.","[{'id': '1088'}, {'id': '21122'}, {'id': '1188'}, {'id': '21127'}, {'id': '1386'}, {'id': '9547'}, {'id': '1166'}, {'id': '15375'}, {'id': '21138'}, {'id': '1203'}, {'id': '1299'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1370'}, {'id': '21146'}, {'id': '1115'}, {'id': '21149'}]",False,False,False,False,False,True,False,False,True,True,True
369,369,369,108,Grand Theft Auto V: Premium Edition,5/14/2020,5/21/2020,https://store.epicgames.com/en-US/p/grand-theft-auto-v,954871df36d3456ca1face43aa5c2e62,0584d2013f0149a791e7b9bad0eec102,2999.0,$29.99,"['1216', '21122', '1188', '9547', '11631', '15375', '21138', '1299', '21139', '21140', '21141', '1117', '21149', '21119']",,"[{'id': '1216'}, {'id': '21122'}, {'id': '1188'}, {'id': '9547'}, {'id': '11631'}, {'id': '15375'}, {'id': '21138'}, {'id': '1299'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1117'}, {'id': '21149'}, {'id': '21119'}]",True,True,False,False,False,False,False,False,True,False,False
370,370,370,107,Death Coming,5/7/2020,5/14/2020,https://store.epicgames.com/en-US/p/death-coming,1516933c27344f478d04efa7ccaa623e,58c35a214bbb4656a536126ad1552d42,699.0,$6.99,"['1296', '1298', '1370', '1115', '9547', '11631']",,"[{'id': '1296'}, {'id': '1298'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '11631'}]",False,False,True,False,False,True,False,False,True,True,False
371,371,371,106,Crashlands,4/30/2020,5/7/2020,https://store.epicgames.com/en-US/p/crashlands,50c1f8b00eff4eb68b474bf57a2bf7bc,1b8a504ec52d4430b65cca2990ad6c7f,1499.0,$14.99,"['1216', '1203', '21109', '1367', '1370', '21147', '9547', '1117', '11631']",,"[{'id': '1216'}, {'id': '1203'}, {'id': '21109'}, {'id': '1367'}, {'id': '1370'}, {'id': '21147'}, {'id': '9547'}, {'id': '1117'}, {'id': '11631'}]",True,True,False,False,False,False,False,False,True,True,True
372,372,372,105,Amnesia: The Dark Descent,4/30/2020,5/7/2020,https://store.epicgames.com/en-US/p/amnesia-the-dark-descent,785b37a897c14ad589d2d5f79aaf372e,917551a8060244469eb4e6ab8a99cf24,1999.0,$19.99,"['1218', '1370', '9547', '1294', '10719', '11631']",,"[{'id': '1218'}, {'id': '1370'}, {'id': '9547'}, {'id': '1294'}, {'id': '10719'}, {'id': '11631'}]",False,False,False,False,False,False,False,False,True,True,False
373,373,373,104,For the King,4/23/2020,4/30/2020,https://store.epicgames.com/en-US/p/for-the-king,55e88d9d4c864d53ba3a03f58222ed24,epic,1999.0,$19.99,"['1264', '1386', '9547', '1117', '10719']",Curve Digital,"[{'id': '1264'}, {'id': '1386'}, {'id': '9547'}, {'id': '1117'}, {'id': '10719'}]",False,True,False,False,False,False,False,False,True,False,False
374,374,374,103,Wheels of Aurelia,4/16/2020,4/23/2020,https://store.epicgames.com/en-US/p/wheels-of-aurelia,ae212a8d9bda47228596f6ce38e5c597,f5d58106a0e143758ddf2bb30dd72ae2,1499.0,$14.99,"['1395', '1370', '9547', '1212', '1263', '10719', '15375']",,"[{'id': '1395'}, {'id': '1370'}, {'id': '9547'}, {'id': '1212'}, {'id': '1263'}, {'id': '10719'}, {'id': '15375'}]",False,False,False,False,False,False,False,False,True,True,False
375,375,375,102,Just Cause 4,4/16/2020,4/23/2020,https://store.epicgames.com/en-US/p/just-cause-4,e99c88534b7743198cc93706a32bb57e,epic,2999.0,$29.99,"['1216', '1400', '1307', '9547']",,"[{'id': '1216'}, {'id': '1400'}, {'id': '1307'}, {'id': '9547'}]",True,False,False,False,False,False,False,False,True,False,False
376,376,376,101,Close to the Sun,4/9/2020,4/16/2020,https://store.epicgames.com/en-US/p/close-to-the-sun,5354dc63819f416a80ef712d9d410351,epic,1999.0,$19.99,"['1218', '1370', '9547', '1117', '1294']",,"[{'id': '1218'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1294'}]",False,True,False,False,False,False,False,False,True,True,False
377,377,377,100,Sherlock Holmes: Crimes and Punishments,4/9/2020,4/16/2020,https://store.epicgames.com/en-US/p/sherlock-holmes-crimes-and-punishments,afadb715390a4593acdca79dae94b60a,23f3da2016b94461a7bd7e2eb46aa0f9,2999.0,$29.99,"['21894', '1370', '9547', '1117', '15375']",,"[{'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '15375'}]",False,True,False,False,False,False,False,False,True,True,False
